Id,Label,timeset,category,startyearcorfixvalue,endyearcor,Size,Color
Q182481,Tourcoing,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q822146,liedtekstschrijver,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q499594,Ans,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q27895221,Sint-Pieterscollege,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q1999262,Vollezele,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q2327757,Sint-Jozefscollege,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q52101,Middelburg,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q860918,esperantist,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q2740329,Rijksarchief te Brugge,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q120483446,De Toekomst,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q64040765,De Grondwet,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q3240440,La Ligue de l’Enseignement et de l’Education permanente,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q4431761,De Schelde,"<[1710.0, 19500.0]>",Werkgever,1710,19500,12.553191,"#ff83ff"
Q1180348,De Tijd,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q1987052,Bovenkerk,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q9783,Roermond,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q2676632,Lapscheure,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q2499618,Koninklijk Atheneum Voskenslaan,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q595802,Museum Plantin-Moretus,"<[1710.0, 19500.0]>",Werkgever,1710,19500,10,"#ff83ff"
Q33100553,Koninklijk Atheneum Antwerpen,"<[1710.0, 19500.0]>",Werkgever,1710,19500,13.829787,"#ff83ff"
Q125965599,Koninklijk Atheneum Mechelen,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q123556179,Clarissen - Monasterium van de H. Jozef Leuven/Kessel-Lo,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q2564527,Erfgoedbibliotheek Hendrik Conscience,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
