Id,Label,timeset,category,startyearcorfixvalue,endyearcor,Size,Color
Q618532,grondeigenaar,"<[1710.0, 1710.0]>",Beroep,1710,1710,15.106382,"#00c7ff"
Q16,Canada,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q6606110,industrieel,"<[1710.0, 1710.0]>",Beroep,1710,1710,15.106382,"#00c7ff"
Q2022299,Doornzele,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,12.553191,"#00feff"
Q3992,Luik,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,17.659575,"#00feff"
Q486748,pianist,"<[1710.0, 1710.0]>",Beroep,1710,1710,13.829787,"#00c7ff"
Q1721,Wiesbaden,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q201970,Shrewsbury,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q987754,Newcastle West,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q39,Zwitserland,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q1425428,Newcastle upon Tyne,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,12.553191,"#005432"
Q7056086,North Meols,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q492369,Middelkerke,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q1486,Buenos Aires,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q765778,organist,"<[1710.0, 1710.0]>",Beroep,1710,1710,13.829787,"#00c7ff"
Q2675537,muziekleraar,"<[1710.0, 1710.0]>",Beroep,1710,1710,15.106382,"#00c7ff"
Q25110562,kamenier,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q25610,Hampstead,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q659895,Dalkey,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q7567400,South Hackney,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q3074712,Flône,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q2580321,Overleie,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q34217,Oxford,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,12.553191,"#005432"
Q1045096,South Kensington,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,12.553191,"#005432"
Q743535,Chelsea,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q350,Cambridge,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,12.553191,"#005432"
Q776556,Ryde,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q42855995,fabrikant,"<[1710.0, 1710.0]>",Beroep,1710,1710,13.829787,"#00c7ff"
Q92204276,magazijnmedewerker,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q81710,schaapherder,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q664,Nieuw-Zeeland,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q539371,corrector,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q1650915,onderzoeker,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q192621,The Daily Telegraph,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q5053225,Catholic Record Society,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q23661,Wellington,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q3130,Sydney,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q36405,Aberdeen,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q806798,bankier,"<[1710.0, 1710.0]>",Beroep,1710,1710,12.553191,"#00c7ff"
Q183231,Bank of England,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q2321706,Kingston upon Thames,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q1143278,Twickenham,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q90,Parijs,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,13.829787,"#005432"
Q743521,Scarborough,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q2619680,Desclée de Brouwer,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q1639239,hoedenmaker,"<[1710.0, 1710.0]>",Beroep,1710,1710,12.553191,"#00c7ff"
Q638172,marskramer,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q33109310,catalograaf,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q8963721,genealoog,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q43683879,bibliotheekmedewerker,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q82133,Bodleian Library,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q52380301,"Congregatie van de Zusters van de Heilige Vincentius a Paulo, Kortemark","<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q2091146,Werken,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q1229025,typograaf,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q616933,Nederename,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q716658,Arundel,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,12.553191,"#005432"
Q685433,verkoper,"<[1710.0, 1710.0]>",Beroep,1710,1710,12.553191,"#00c7ff"
Q851718,Beverley,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q1065474,Chipping Norton,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q632471,Archbold,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q12439,Detroit,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q233129,Peoria,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q10686,Belfast,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q694116,molenaar,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q2442951,Niles,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q1166,Michigan,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q911983,Waarschoot,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,12.553191,"#00feff"
Q123690066,Engels wezenhuis,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q1876354,Okegem,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q186360,verpleegkundige,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q1646408,abdis,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q131512,agrariër,"<[1710.0, 1710.0]>",Beroep,1710,1710,13.829787,"#00c7ff"
Q2936941,Sint-Amandsberg,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q76604670,gemeenteontvanger,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q6602,Straatsburg,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q2647040,Hansbeke,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q12713481,arbeider,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q12049274,winkelier,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q23754015,textielfabrikant,"<[1710.0, 1710.0]>",Beroep,1710,1710,12.553191,"#00c7ff"
Q134902,Stoke-on-Trent,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q2449737,Stone,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,12.553191,"#00feff"
Q122607,Bow,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q81997,Boulogne-sur-Mer,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q3453174,Rumillies,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q173219,Doornik,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,13.829787,"#00feff"
Q738142,klerk,"<[1710.0, 1710.0]>",Beroep,1710,1710,13.829787,"#00c7ff"
Q185591,Pietermaritzburg,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,12.553191,"#00feff"
Q327321,metselaar,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q16513769,herbergier,"<[1710.0, 1710.0]>",Beroep,1710,1710,12.553191,"#00c7ff"
Q486877,South Bend,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q36074,Queensland,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q2957897,Sint-Franciscus-Xaveriusinstituut (Brugge),"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q36433,Porto,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q228685,Zuienkerke,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q63923,Meulestede,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q822651,Nevele,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q14062,Zelzate,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q12993,Lembeke,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q107986613,Overleie,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q1483709,landeigenaar,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q3177595,Destelbergen,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q811620,boomkweker,"<[1710.0, 1710.0]>",Beroep,1710,1710,12.553191,"#00c7ff"
Q17166634,hagiograaf,"<[1710.0, 1710.0]>",Beroep,1710,1710,12.553191,"#00c7ff"
Q13424456,hymne-schrijver,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q1234713,theoloog,"<[1710.0, 1710.0]>",Beroep,1710,1710,18.936169,"#00c7ff"
Q475931,Westerlo,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q131926511,"Congregatie van de Zusters Augustinessen, Menen","<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q261399,Thérouanne,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q690948,Lettelingen,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q587819,Londerzeel,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q834850,Borgerhout,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,12.553191,"#005432"
Q247797,douanebeambte,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q10732476,kunstverzamelaar,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q50412149,Stadsarchief Leuven,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q115706151,godsdienstleraar,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q2921791,De Vlaamsche Vlagge,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q2262095,Sint-Pauwels,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q2358119,Vrasene,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q109925431,kopergieter,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q474306,klokkengieter,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q2053561,Pervijze,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,12.553191,"#00feff"
Q136750862,"Congregatie van de Zusters Paulinen, Poperinge","<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q2755150,Schuiferskapelle,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q2085862,Esen,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q735842,Ledegem,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q2042895,Noordschote,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q30,Verenigde Staten,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q16880249,dialectoloog,"<[1710.0, 1710.0]>",Beroep,1710,1710,12.553191,"#00c7ff"
Q3195527,Kersbeek-Miskom,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q984868,Glabbeek,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q2436688,Neerlinter,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q456550,Tienen,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,12.553191,"#00feff"
Q273442,Aarschot,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,13.829787,"#00feff"
Q154549,timmerman,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q118541225,Hogere Handelsschool Leuven,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q29016912,FelixArchief,"<[1710.0, 19500.0]>",Werkgever,1710,19500,12.553191,"#ff83ff"
Q114037016,adjunct-conservator,"<[1710.0, 1710.0]>",Beroep,1710,1710,10,"#00c7ff"
Q2753709,Rijksarchief te Gent,"<[1710.0, 19500.0]>",Werkgever,1710,19500,10,"#ff83ff"
Q758780,hovenier,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q28521117,Théodore van de Walle,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q19968805,spinner,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q16145150,muziekpedagoog,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q84961226,Stedelijk Conservatorium Brugge,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q107212688,exlibrist,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q28389,scenarioschrijver,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q234,Vlaanderen,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q9337,Vlaams Gewest,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q13418253,filoloog,"<[1710.0, 1710.0]>",Beroep,1710,1710,21.489361,"#00c7ff"
Q14467526,taalkundige,"<[1710.0, 1710.0]>",Beroep,1710,1710,24.042553,"#00c7ff"
Q2936361,Erasmiaans Gymnasium,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q850730,Rijksuniversiteit Groningen,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q749,Groningen,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q73221,Tiel,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q1642960,commentator,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q1113,West-Vlaanderen,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q185351,jurist,"<[1710.0, 1710.0]>",Beroep,1710,1710,12.553191,"#00c7ff"
Q446966,restaurator,"<[1710.0, 1710.0]>",Beroep,1710,1710,12.553191,"#00c7ff"
Q118612494,Congregatie van de Zusters van de Kindsheid van Maria Ter Spermalie,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q2205233,Koninklijk Instituut Spermalie,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q12896,Maldegem,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q1231865,pedagoog,"<[1710.0, 1710.0]>",Beroep,1710,1710,12.553191,"#00c7ff"
Q4325830,Sint-Romboutscollege,"<[1710.0, 19500.0]>",Werkgever,1710,19500,12.553191,"#ff83ff"
Q118495392,Sint-Jozefscollege (Aarschot),"<[1710.0, 19500.0]>",Werkgever,1710,19500,12.553191,"#ff83ff"
Q661993,Alsemberg,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q27349,tandarts,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q4263842,literatuurcriticus,"<[1710.0, 1710.0]>",Beroep,1710,1710,15.106382,"#00c7ff"
Q1792450,kunsthistoricus,"<[1710.0, 1710.0]>",Beroep,1710,1710,15.106382,"#00c7ff"
Q4164507,kunstcriticus,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q1816228,Rijksakademie van beeldende kunsten,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q448840,Alveringem,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q2041206,Moere,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q215793,kapelmeester,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q11997597,vertegenwoordiger,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q780596,curator,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q1660363,importeur,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q47090899,museummedewerker,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q213322,Victoria and Albert Museum,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q5070708,Chance Brothers,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q21004456,Oudheidkundig Genootschap van Brugge,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
